#{"t_start": 1694684980.9117434, "env_id": null}
r,l,t
29.398657,47,626.341807
24.460836,40,626.635794
26.853793,43,626.885578
60.973879,149,627.22135
75.51697,149,628.08413
65.631403,149,628.920371
62.389054,149,629.738117
85.75245,149,630.548571
58.230143,149,631.386066
47.528957,149,632.208851
60.22934,149,633.109159
86.276716,149,634.006315
50.683676,149,634.946297
84.417673,149,635.871466
57.457162,149,636.785205
81.245654,149,637.587498
77.706169,149,638.408247
58.236773,149,639.163042
-30.409887,149,639.872549
52.428009,149,640.596187
47.779829,149,641.309661
72.924968,149,642.024574
36.381032,149,642.760854
39.967823,149,643.499599
51.945204,149,644.406136
55.508264,149,645.235791
49.951913,149,646.059575
41.087218,149,646.897949
63.636357,149,647.793361
56.754459,149,648.632129
-46.931295,149,649.569518
44.934769,149,650.501644
36.899738,149,651.466066
60.533663,149,652.38551
72.945424,149,653.322099
62.376557,149,654.194867
58.590101,149,655.063415
58.389157,149,655.9171
58.55274,149,656.735814
71.907417,149,657.505092
88.340506,149,658.425582
43.713129,58,659.247978
65.503679,149,659.673023
59.190627,149,660.608511
35.326146,66,661.429567
37.448902,64,661.822427
63.542807,149,662.229265
51.35789,149,663.055012
71.750329,149,663.898479
69.169385,149,664.710243
63.431991,149,665.52701
55.200245,149,666.353481
67.58974,149,667.29417
82.047767,149,668.191031
60.865877,149,669.049599
75.457111,149,669.922192
75.580631,149,670.787381
55.30668,149,671.593086
26.975739,65,672.362639
-273.333018,28,672.707638
59.645698,149,672.954401
57.864685,149,673.787838
84.88362,149,674.508564
71.266801,149,675.22037
70.791257,149,675.962067
60.894023,149,676.666725
49.128644,149,677.369572
91.126399,149,678.100832
50.145389,149,678.816366
58.589456,149,679.516122
70.910979,149,680.246606
-42.504484,149,681.013356
66.574536,149,681.762428
69.921077,149,682.510828
78.057605,149,683.25837
61.606702,149,684.032057
61.859439,149,684.762749
68.356483,149,685.520194
82.384081,149,686.22937
57.216688,149,686.934773
88.197009,149,687.636009
65.730997,149,688.346864
68.303533,149,689.056273
-140.83095,149,689.784281
50.365692,149,690.504089
74.752033,149,691.210849
76.607391,149,691.933664
59.870705,149,692.683481
52.894215,149,693.399954
58.596812,149,694.100691
60.586137,149,694.805818
57.653068,149,695.493492
61.231114,149,696.185769
47.229093,149,696.901062
84.011367,149,697.632728
83.939812,149,698.36929
51.725262,149,699.102066
57.605915,149,699.838045
56.843098,149,700.629486
72.011552,149,701.376296
64.494796,149,702.130324
57.151239,149,702.855919
54.403625,149,703.58809
80.645655,149,704.344516
119.097079,149,705.111257
74.910608,149,705.916188
88.650931,149,706.67389
61.78735,149,707.441141
56.43596,149,708.253262
51.385527,149,709.039974
52.312395,149,709.876532
45.99254,149,710.638717
77.086506,149,711.363282
64.569613,149,712.122633
104.736413,149,712.953139
46.467071,149,713.858735
60.81996,149,714.796336
56.541494,149,715.677085
-4.010148,149,716.566212
94.975126,149,717.316819
108.756545,149,718.048565
69.541684,118,718.857145
103.183114,149,719.528881
101.696661,149,720.266395
69.809309,149,721.062649
103.253826,149,721.942224
64.880233,149,722.752931
-842.552474,81,723.42726
85.926143,149,723.935617
85.792963,149,724.851978
